OFFICIAL_SYMBOL	IDENTIFIER_ID	Gene_Type
Tgm2	21817	PROTEIN_CODING
Thra	21833	PROTEIN_CODING
Thrb	21834	PROTEIN_CODING
Nppa	230899	PROTEIN_CODING
Irf3	54131	PROTEIN_CODING
Commd10	69456	PROTEIN_CODING
1700016L21Rik	72208	ncRNA
Grm5	108071	PROTEIN_CODING
Abl1	11350	PROTEIN_CODING
Agtr2	11609	PROTEIN_CODING
Bmi1	12151	PROTEIN_CODING
Cd79a	12518	PROTEIN_CODING
Cdx2	12591	PROTEIN_CODING
Dlg4	13385	PROTEIN_CODING
Egf	13645	PROTEIN_CODING
Epo	13856	PROTEIN_CODING
Glp1r	14652	PROTEIN_CODING
Grin2a	14811	PROTEIN_CODING
Foxg1	15228	PROTEIN_CODING
Hr	15460	PROTEIN_CODING
Cxcl10	15945	PROTEIN_CODING
Krt14	16664	PROTEIN_CODING
Il1rl1	17082	PROTEIN_CODING
Myb	17863	PROTEIN_CODING
Ptgs1	19224	PROTEIN_CODING
Sphk1	20698	PROTEIN_CODING
Traf6	22034	PROTEIN_CODING
Vcam1	22329	PROTEIN_CODING
Slc32a1	22348	PROTEIN_CODING
Vwf	22371	PROTEIN_CODING
Xbp1	22433	PROTEIN_CODING
Hdac1	433759	PROTEIN_CODING
Ace2	70008	PROTEIN_CODING
Adcyap1	11516	PROTEIN_CODING
Aire	11634	PROTEIN_CODING
Bmpr1a	12166	PROTEIN_CODING
Cd86	12524	PROTEIN_CODING
Col1a2	12843	PROTEIN_CODING
H2-K1	14972	PROTEIN_CODING
Irf8	15900	PROTEIN_CODING
Irf1	16362	PROTEIN_CODING
Mef2c	17260	PROTEIN_CODING
Map2	17756	PROTEIN_CODING
Nkx2-2	18088	PROTEIN_CODING
Slc11a1	18173	PROTEIN_CODING
Sqstm1	18412	PROTEIN_CODING
Pik3ca	18706	PROTEIN_CODING
Prkce	18754	PROTEIN_CODING
Plau	18792	PROTEIN_CODING
Ptpn1	19246	PROTEIN_CODING
Msr1	20288	PROTEIN_CODING
Sftpc	20389	PROTEIN_CODING
Shc1	20416	PROTEIN_CODING
Stat4	20849	PROTEIN_CODING
Tac1	21333	PROTEIN_CODING
Arrb2	216869	PROTEIN_CODING
Map3k7	26409	PROTEIN_CODING
Smo	319757	PROTEIN_CODING
Ndor1	78797	PROTEIN_CODING
Akt2	11652	PROTEIN_CODING
Alox5	11689	PROTEIN_CODING
C5ar1	12273	PROTEIN_CODING
Cd14	12475	PROTEIN_CODING
Epha4	13838	PROTEIN_CODING
Gja5	14613	PROTEIN_CODING
Gnas	14683	PROTEIN_CODING
Gria2	14800	PROTEIN_CODING
Il2ra	16184	PROTEIN_CODING
Il5	16191	PROTEIN_CODING
Il6st	16195	PROTEIN_CODING
Itpr1	16438	PROTEIN_CODING
Lhx1	16869	PROTEIN_CODING
Mc4r	17202	PROTEIN_CODING
Ntrk1	18211	PROTEIN_CODING
Pthlh	19227	PROTEIN_CODING
Sell	20343	PROTEIN_CODING
Tcf3	21423	PROTEIN_CODING
Terc	21748	ncRNA
Timp1	21857	PROTEIN_CODING
Tsc2	22084	PROTEIN_CODING
Twist1	22160	PROTEIN_CODING
Scgb1a1	22287	PROTEIN_CODING
Wnt4	22417	PROTEIN_CODING
Mapk9	26420	PROTEIN_CODING
Atf4	11911	PROTEIN_CODING
Neurog2	11924	PROTEIN_CODING
Bak1	12018	PROTEIN_CODING
Cacna1c	12288	PROTEIN_CODING
Csf1r	12978	PROTEIN_CODING
Cux1	13047	PROTEIN_CODING
Dcx	13193	PROTEIN_CODING
S1pr1	13609	PROTEIN_CODING
Gli2	14633	PROTEIN_CODING
H2-D1	14964	PROTEIN_CODING
Hsf1	15499	PROTEIN_CODING
Inpp5d	16331	PROTEIN_CODING
Krt8	16691	PROTEIN_CODING
Lck	16818	PROTEIN_CODING
Ntf3	18205	PROTEIN_CODING
Ntn1	18208	PROTEIN_CODING
Plg	18815	PROTEIN_CODING
Rxra	20181	PROTEIN_CODING
Ryr1	20190	PROTEIN_CODING
Scd1	20249	PROTEIN_CODING
Ccl3	20302	PROTEIN_CODING
Stat5b	20851	PROTEIN_CODING
Tek	21687	PROTEIN_CODING
Tgfb2	21808	PROTEIN_CODING
Tgfbr1	21812	PROTEIN_CODING
Tnfrsf9	21942	PROTEIN_CODING
Park7	57320	PROTEIN_CODING
Il21	60505	PROTEIN_CODING
Lrrk2	66725	PROTEIN_CODING
Tmem163	72160	PROTEIN_CODING
Ache	11423	PROTEIN_CODING
Actb	11461	PROTEIN_CODING
Neurog3	11925	PROTEIN_CODING
Bcl6	12053	PROTEIN_CODING
Cd38	12494	PROTEIN_CODING
Cd3e	12501	PROTEIN_CODING
Cdh5	12562	PROTEIN_CODING
Dkk1	13380	PROTEIN_CODING
Efnb2	13642	PROTEIN_CODING
Fgf4	14175	PROTEIN_CODING
Flt3	14255	PROTEIN_CODING
Gata2	14461	PROTEIN_CODING
Gjd2	14617	PROTEIN_CODING
Grn	14824	PROTEIN_CODING
Kcnj11	16514	PROTEIN_CODING
Kcnma1	16531	PROTEIN_CODING
Lpl	16956	PROTEIN_CODING
Sp7	170574	PROTEIN_CODING
Meox2	17286	PROTEIN_CODING
Omp	18378	PROTEIN_CODING
Abcb1b	18669	PROTEIN_CODING
Phex	18675	PROTEIN_CODING
Ripk1	19766	PROTEIN_CODING
Rpe65	19892	PROTEIN_CODING
Slc1a3	20512	PROTEIN_CODING
Smarca4	20586	PROTEIN_CODING
Smpd1	20597	PROTEIN_CODING
Snap25	20614	PROTEIN_CODING
Sp1	20683	PROTEIN_CODING
Srf	20807	PROTEIN_CODING
Sdc1	20969	PROTEIN_CODING
Syp	20977	PROTEIN_CODING
Thy1	21838	PROTEIN_CODING
Uchl1	22223	PROTEIN_CODING
Nr1h2	22260	PROTEIN_CODING
Irs2	384783	PROTEIN_CODING
Dnm1l	74006	PROTEIN_CODING
Hamp	84506	PROTEIN_CODING
Ace	11421	PROTEIN_CODING
Chrnb2	11444	PROTEIN_CODING
Alpl	11647	PROTEIN_CODING
Aqp1	11826	PROTEIN_CODING
Atp2a2	11938	PROTEIN_CODING
Atp7a	11977	PROTEIN_CODING
Ccnd2	12444	PROTEIN_CODING
Cdk2	12566	PROTEIN_CODING
Cdk4	12567	PROTEIN_CODING
Cdkn1c	12577	PROTEIN_CODING
Crhr1	12921	PROTEIN_CODING
Ednrb	13618	PROTEIN_CODING
Erbb4	13869	PROTEIN_CODING
Gap43	14432	PROTEIN_CODING
Gpx1	14775	PROTEIN_CODING
Grm1	14816	PROTEIN_CODING
Hdac3	15183	PROTEIN_CODING
Il3	16187	PROTEIN_CODING
Mybpc3	17868	PROTEIN_CODING
Myl2	17906	PROTEIN_CODING
Myo5a	17918	PROTEIN_CODING
Notch3	18131	PROTEIN_CODING
Nr4a2	18227	PROTEIN_CODING
Pdgfb	18591	PROTEIN_CODING
Pla2g4a	18783	PROTEIN_CODING
Snai1	20613	PROTEIN_CODING
Tacr1	21336	PROTEIN_CODING
Tap1	21354	PROTEIN_CODING
Tet2	214133	PROTEIN_CODING
Tyrp1	22178	PROTEIN_CODING
Tardbp	230908	PROTEIN_CODING
Nt5e	23959	PROTEIN_CODING
Nefh	380684	PROTEIN_CODING
Becn1	56208	PROTEIN_CODING
Fgf23	64654	PROTEIN_CODING
Trem2	83433	PROTEIN_CODING
Raf1	110157	PROTEIN_CODING
Agrp	11604	PROTEIN_CODING
Alox15	11687	PROTEIN_CODING
Arg1	11846	PROTEIN_CODING
Atf3	11910	PROTEIN_CODING
Neurod6	11922	PROTEIN_CODING
Bid	12122	PROTEIN_CODING
Cbs	12411	PROTEIN_CODING
Chuk	12675	PROTEIN_CODING
Ephb2	13844	PROTEIN_CODING
F2r	14062	PROTEIN_CODING
Flt4	14257	PROTEIN_CODING
Gnaq	14682	PROTEIN_CODING
Pdpn	14726	PROTEIN_CODING
Hcrt	15171	PROTEIN_CODING
Hdac2	15182	PROTEIN_CODING
Hdc	15186	PROTEIN_CODING
Id1	15901	PROTEIN_CODING
Cd74	16149	PROTEIN_CODING
Irf4	16364	PROTEIN_CODING
Itga4	16401	PROTEIN_CODING
Cd47	16423	PROTEIN_CODING
Lgals1	16852	PROTEIN_CODING
Anxa1	16952	PROTEIN_CODING
Mcl1	17210	PROTEIN_CODING
Nefl	18039	PROTEIN_CODING
Nodal	18119	PROTEIN_CODING
Pou1f1	18736	PROTEIN_CODING
Prkcz	18762	PROTEIN_CODING
Pou4f1	18996	PROTEIN_CODING
Eif2ak2	19106	PROTEIN_CODING
Ptger2	19217	PROTEIN_CODING
Dusp1	19252	PROTEIN_CODING
Aldh1a2	19378	PROTEIN_CODING
Rel	19696	PROTEIN_CODING
S100b	20203	PROTEIN_CODING
Scn8a	20273	PROTEIN_CODING
Sema3a	20346	PROTEIN_CODING
Tert	21752	PROTEIN_CODING
Tgfa	21802	PROTEIN_CODING
Rarb	218772	PROTEIN_CODING
Vhl	22346	PROTEIN_CODING
Ikzf1	22778	PROTEIN_CODING
Mavs	228607	PROTEIN_CODING
Nox1	237038	PROTEIN_CODING
Tnfsf13b	24099	PROTEIN_CODING
Ep300	328572	PROTEIN_CODING
Postn	50706	PROTEIN_CODING
Panx1	55991	PROTEIN_CODING
Clec7a	56644	PROTEIN_CODING
Ptges	64292	PROTEIN_CODING
Isl2	104360	PROTEIN_CODING
LOC111365144	111365144	BIOLOGICAL_REGION
Birc5	11799	PROTEIN_CODING
