OFFICIAL_SYMBOL,IDENTIFIER_ID,Gene_Type
CCL5,6352,PROTEIN_CODING
CYP3A5,1577,PROTEIN_CODING
AHR,196,PROTEIN_CODING
FGFR2,2263,PROTEIN_CODING
IGFBP3,3486,PROTEIN_CODING
SMAD4,4089,PROTEIN_CODING
PLK1,5347,PROTEIN_CODING
BMP2,650,PROTEIN_CODING
SOX2,6657,PROTEIN_CODING
PROM1,8842,PROTEIN_CODING
APEX1,328,PROTEIN_CODING
INSR,3643,PROTEIN_CODING
OGG1,4968,PROTEIN_CODING
BSG,682,PROTEIN_CODING
TLR3,7098,PROTEIN_CODING
TNFRSF1A,7132,PROTEIN_CODING
TWIST1,7291,PROTEIN_CODING
TNFSF11,8600,PROTEIN_CODING
CDK1,983,PROTEIN_CODING
NAMPT,10135,PROTEIN_CODING
FOXO3,2309,PROTEIN_CODING
SMAD3,4088,PROTEIN_CODING
POU5F1,5460,PROTEIN_CODING
RAD51,5888,PROTEIN_CODING
FGFR1,2260,PROTEIN_CODING
FGFR3,2261,PROTEIN_CODING
KCNQ1,3784,PROTEIN_CODING
TP73,7161,PROTEIN_CODING
C3,718,PROTEIN_CODING
CREBBP,1387,PROTEIN_CODING
DMD,1756,PROTEIN_CODING
FASLG,356,PROTEIN_CODING
PLAUR,5329,PROTEIN_CODING
TIMP1,7076,PROTEIN_CODING
IL33,90865,PROTEIN_CODING
CCN2,1490,PROTEIN_CODING
DNMT1,1786,PROTEIN_CODING
DPP4,1803,PROTEIN_CODING
FOXO1,2308,PROTEIN_CODING
PTPN22,26191,PROTEIN_CODING
GNAS,2778,PROTEIN_CODING
HLA-DQA1,3117,PROTEIN_CODING
IL13,3596,PROTEIN_CODING
NF1,4763,PROTEIN_CODING
ADAMTS13,11093,PROTEIN_CODING
CHEK2,11200,PROTEIN_CODING
CLU,1191,PROTEIN_CODING
CYP2E1,1571,PROTEIN_CODING
HSPB1,3315,PROTEIN_CODING
SQSTM1,8878,PROTEIN_CODING
BCL2L1,598,PROTEIN_CODING
TYMS,7298,PROTEIN_CODING
CASR,846,PROTEIN_CODING
CDK2,1017,PROTEIN_CODING
CHI3L1,1116,PROTEIN_CODING
CYP17A1,1586,PROTEIN_CODING
GDF15,9518,PROTEIN_CODING
MICA,100507436,PROTEIN_CODING
CSNK2A1,1457,PROTEIN_CODING
FOXM1,2305,PROTEIN_CODING
GBA1,2629,PROTEIN_CODING
MEFV,4210,PROTEIN_CODING
PCNA,5111,PROTEIN_CODING
CALCA,796,PROTEIN_CODING
CD40,958,PROTEIN_CODING
CD40LG,959,PROTEIN_CODING
CREB1,1385,PROTEIN_CODING
NQO1,1728,PROTEIN_CODING
GRN,2896,PROTEIN_CODING
NRG1,3084,PROTEIN_CODING
P2RX7,5027,PROTEIN_CODING
PTX3,5806,PROTEIN_CODING
SHH,6469,PROTEIN_CODING
RUNX2,860,PROTEIN_CODING
CNR1,1268,PROTEIN_CODING
CYP1B1,1545,PROTEIN_CODING
IDO1,3620,PROTEIN_CODING
PIK3R1,5295,PROTEIN_CODING
PPARA,5465,PROTEIN_CODING
BMI1,648,PROTEIN_CODING
FBN1,2200,PROTEIN_CODING
DICER1,23405,PROTEIN_CODING
GRB2,2885,PROTEIN_CODING
HSPA4,3308,PROTEIN_CODING
IL2RA,3559,PROTEIN_CODING
LPA,4018,PROTEIN_CODING
KMT2A,4297,PROTEIN_CODING
MMP14,4323,PROTEIN_CODING
PRKCD,5580,PROTEIN_CODING
VIM,7431,PROTEIN_CODING
C9orf72,203228,PROTEIN_CODING
IRS1,3667,PROTEIN_CODING
APOBEC3G,60489,PROTEIN_CODING
CALR,811,PROTEIN_CODING
CD36,948,PROTEIN_CODING
ENG,2022,PROTEIN_CODING
XIAP,331,PROTEIN_CODING
KLK3,354,PROTEIN_CODING
HAMP,57817,PROTEIN_CODING
S100A9,6280,PROTEIN_CODING
S100B,6285,PROTEIN_CODING
SNAI1,6615,PROTEIN_CODING
TGM2,7052,PROTEIN_CODING
THBS1,7057,PROTEIN_CODING
BECN1,8678,PROTEIN_CODING
CDC42,998,PROTEIN_CODING
TNFSF13B,10673,PROTEIN_CODING
RASSF1,11186,PROTEIN_CODING
FLG,2312,PROTEIN_CODING
IL12B,3593,PROTEIN_CODING
NRAS,4893,PROTEIN_CODING
OXTR,5021,PROTEIN_CODING
PKM,5315,PROTEIN_CODING
PLAU,5328,PROTEIN_CODING
STK11,6794,PROTEIN_CODING
ZEB1,6935,PROTEIN_CODING
VCAM1,7412,PROTEIN_CODING
KL,9365,PROTEIN_CODING
EPAS1,2034,PROTEIN_CODING
EPO,2056,PROTEIN_CODING
F7,2155,PROTEIN_CODING
FCGR2A,2212,PROTEIN_CODING
DKK1,22943,PROTEIN_CODING
HNF4A,3172,PROTEIN_CODING
ITGAV,3685,PROTEIN_CODING
PML,5371,PROTEIN_CODING
TGFBR2,7048,PROTEIN_CODING
TNNT2,7139,PROTEIN_CODING
CBL,867,PROTEIN_CODING
APOA5,116519,PROTEIN_CODING
DNMT3A,1788,PROTEIN_CODING
ELAVL1,1994,PROTEIN_CODING
FUS,2521,PROTEIN_CODING
G6PD,2539,PROTEIN_CODING
ANGPT2,285,PROTEIN_CODING
ANXA2,302,PROTEIN_CODING
HP,3240,PROTEIN_CODING
IL15,3600,PROTEIN_CODING
MC4R,4160,PROTEIN_CODING
NOTCH3,4854,PROTEIN_CODING
PRKDC,5591,PROTEIN_CODING
HNF1A,6927,PROTEIN_CODING
EZR,7430,PROTEIN_CODING
CEBPA,1050,PROTEIN_CODING
CYP1A2,1544,PROTEIN_CODING
AMH,268,PROTEIN_CODING
GH1,2688,PROTEIN_CODING
LGALS1,3956,PROTEIN_CODING
LTA,4049,PROTEIN_CODING
PDGFRA,5156,PROTEIN_CODING
